ModulationOrder,SNR,PilotLength,PilotSpacing,SymbolRate,PhaseNoise,BER,CBER
4,0,8,16,10000000,20,0.30784,0.18701
4,0,8,16,10000000,25,0.428565,0.22285
4,0,8,16,10000000,30,0.497575,0.30888
4,0,8,16,30000000,0,0.161235,0.16978
4,0,8,16,30000000,5,0.16591,0.16915
4,0,8,16,30000000,10,0.18058,0.17006
4,0,8,16,30000000,15,0.217605,0.170395
4,0,8,16,30000000,20,0.30176,0.17548
4,0,8,16,30000000,25,0.43049,0.189305
4,0,8,16,30000000,30,0.49926,0.22859
4,0,8,16,100000000,0,0.161305,0.16833
4,0,8,16,100000000,5,0.165065,0.16892
4,0,8,16,100000000,10,0.175545,0.16916
4,0,8,16,100000000,15,0.2177,0.168775
4,0,8,16,100000000,20,0.29549,0.169325
4,0,8,16,100000000,25,0.38479,0.174125
4,0,8,16,100000000,30,0.50321,0.182255
4,0,8,16,300000000,0,0.161015,0.1675
4,0,8,16,300000000,5,0.169755,0.16989
4,0,8,16,300000000,10,0.18221,0.169785
4,0,8,16,300000000,15,0.20977,0.167265
4,0,8,16,300000000,20,0.26714,0.167955
4,0,8,16,300000000,25,0.44795,0.169415
4,0,8,16,300000000,30,0.494825,0.171065
4,0,8,16,1000000000,0,0.16194,0.168625
4,0,8,16,1000000000,5,0.16639,0.169205
4,0,8,16,1000000000,10,0.185975,0.16906
4,0,8,16,1000000000,15,0.207105,0.169415
4,0,8,16,1000000000,20,0.330465,0.169145
4,0,8,16,1000000000,25,0.430065,0.168885
4,0,8,16,1000000000,30,0.514875,0.1706
4,0,8,16,10000000000,0,0.158795,0.169135
4,0,8,16,10000000000,5,0.159885,0.169585
4,0,8,16,10000000000,10,0.1592,0.1684
4,0,8,16,10000000000,15,0.184105,0.16918
4,0,8,16,10000000000,20,0.223455,0.170495
4,0,8,16,10000000000,25,0.2704,0.168325
4,0,8,16,10000000000,30,0.389805,0.16842
4,0,8,16,30000000000,0,0.15885,0.169065
4,0,8,16,30000000000,5,0.159575,0.169055
4,0,8,16,30000000000,10,0.159545,0.16889
4,0,8,16,30000000000,15,0.162285,0.16942
4,0,8,16,30000000000,20,0.17748,0.16797
4,0,8,16,30000000000,25,0.22118,0.168435
4,0,8,16,30000000000,30,0.219395,0.16893
4,0,8,64,1000000,0,0.162233085,0.172309861
4,0,8,64,1000000,5,0.16615683,0.176713452
4,0,8,64,1000000,10,0.178922745,0.189669306
4,0,8,64,1000000,15,0.215541027,0.227002359
4,0,8,64,1000000,20,0.297184901,0.312589971
4,0,8,64,1000000,25,0.426173624,0.44296825
4,0,8,64,1000000,30,0.495046585,0.493821977
4,0,8,64,10000000,0,0.16296785,0.170950296
4,0,8,64,10000000,5,0.166126839,0.170490443
4,0,8,64,10000000,10,0.180792147,0.174714091
4,0,8,64,10000000,15,0.215106166,0.182986444
4,0,8,64,10000000,20,0.301073656,0.21131238
4,0,8,64,10000000,25,0.429537548,0.277006358
4,0,8,64,10000000,30,0.493377119,0.400081974
4,0,8,64,30000000,0,0.161708253,0.169275832
4,0,8,64,30000000,5,0.166501719,0.170135557
4,0,8,64,30000000,10,0.181476927,0.1706254
4,0,8,64,30000000,15,0.216070857,0.175363884
4,0,8,64,30000000,20,0.318748001,0.186815219
4,0,8,64,30000000,25,0.437834893,0.219814659
4,0,8,64,30000000,30,0.491052863,0.304982406
4,0,8,64,100000000,0,0.161988164,0.170265515
4,0,8,64,100000000,5,0.16581194,0.168226168
4,0,8,64,100000000,10,0.1790627,0.169755678
4,0,8,64,100000000,15,0.223273552,0.172304862
4,0,8,64,100000000,20,0.301653471,0.175158949
4,0,8,64,100000000,25,0.441633677,0.187784909
4,0,8,64,100000000,30,0.484769874,0.220494442
4,0,8,64,300000000,0,0.159978807,0.169930622
4,0,8,64,300000000,5,0.165831934,0.168701016
4,0,8,64,300000000,10,0.183946137,0.167996241
4,0,8,64,300000000,15,0.198096609,0.170190539
4,0,8,64,300000000,20,0.279885437,0.170265515
4,0,8,64,300000000,25,0.358690219,0.173034629
4,0,8,64,300000000,30,0.522257877,0.178587852
4,0,8,64,1000000000,0,0.160883517,0.169085893
4,0,8,64,1000000000,5,0.162478007,0.170755358
4,0,8,64,1000000000,10,0.16775132,0.167956254
4,0,8,64,1000000000,15,0.209767874,0.169840651
4,0,8,64,1000000000,20,0.274307222,0.169230846
4,0,8,64,1000000000,25,0.386946177,0.168326136
4,0,8,64,1000000000,30,0.473053623,0.170630398
4,0,8,64,10000000000,0,0.158834173,0.168850968
4,0,8,64,10000000000,5,0.160798544,0.170365483
4,0,8,64,10000000000,10,0.164202455,0.169065899
4,0,8,64,10000000000,15,0.16371761,0.168895953
4,0,8,64,10000000000,20,0.188359725,0.169460773
4,0,8,64,10000000000,25,0.205084373,0.169470769
4,0,8,64,10000000000,30,0.367667346,0.170265515
4,0,8,64,30000000000,0,0.15799944,0.16862604
4,0,8,64,30000000000,5,0.158809181,0.169095889
4,0,8,64,30000000000,10,0.159254039,0.169085893
4,0,8,64,30000000000,15,0.160793546,0.168466091
4,0,8,64,30000000000,20,0.167741323,0.168845969
4,0,8,64,30000000000,25,0.198816379,0.16737644
4,0,8,64,30000000000,30,0.232455614,0.168096209
4,0,8,128,1000000,0,0.160685742,0.170835997
4,0,8,128,1000000,5,0.165965673,0.177649457
4,0,8,128,1000000,10,0.179732457,0.195881953
4,0,8,128,1000000,15,0.217141544,0.239859735
4,0,8,128,1000000,20,0.298688259,0.334553828
4,0,8,128,1000000,25,0.424482497,0.45960378
4,0,8,128,1000000,30,0.494240529,0.498965993
4,0,8,128,10000000,0,0.160500919,0.170651175
4,0,8,128,10000000,5,0.166080563,0.170985854
4,0,8,128,10000000,10,0.180192016,0.176375679
4,0,8,128,10000000,15,0.222916001,0.191606058
4,0,8,128,10000000,20,0.294662124,0.230878357
4,0,8,128,10000000,25,0.438524017,0.321551311
4,0,8,128,10000000,30,0.498686261,0.439053509
4,0,8,128,30000000,0,0.160076327,0.17005175
4,0,8,128,30000000,5,0.166285366,0.171285566
4,0,8,128,30000000,10,0.180047155,0.172534367
